ABE	Lehigh Valley International Airport
SAF	Santa Fe Municipal Airport
SAN	San Diego International Airport
SAT	San Antonio International Airport
SAV	Savannah/Hilton Head International Airport
SBA	Santa Barbara Municipal Airport
SBN	South Bend International Airport
SBP	San Luis Obispo County Regional Airport
SBY	Salisbury-Ocean City Wicomico Regional Airport
SCE	University Park Airport
SCK	Stockton Metropolitan Airport
SDF	Louisville International Airport
SEA	Seattle-Tacoma International Airport
SFB	Orlando Sanford International Airport
SFO	San Francisco International Airport
SGF	Springfield-Branson National Airport
SGU	St. George Regional Airport
SHD	Shenandoah Valley Regional Airport
SHR	Sheridan County Airport
SHV	Shreveport Regional Airport
SIG	Fernando Luis Ribas Dominicci Airport
SJC	Norman Y. Mineta San José International Airport
SJT	San Angelo Regional Airport
SJU	Luis Muñoz Marín International Airport
SLC	Salt Lake City International Airport
SMF	Sacramento International Airport
SMX	Santa Maria Public Airport
SNA	John Wayne Airport - Orange County
SPI	Abraham Lincoln Capital Airport
SPN	Saipan International Airport
SPS	Wichita Falls Municipal Airport / 
SRQ	Sarasota-Bradenton International Airport
STC	St. Cloud Regional Airport
STL	Lambert-St. Louis International Airport
STS	Charles M. Schulz-Sonoma County Airport
STT	Cyril E. King Airport
STX	Henry E. Rohlsen Airport
SUN	Friedman Memorial Airport
SUX	Sioux Gateway Airport
SWF	Stewart International Airport
SYR	Syracuse Hancock International Airport
TLH	Tallahassee Regional Airport
TOL	Toledo Express Airport
TPA	Tampa International Airport
TRI	Tri-Cities Regional Airport
TTN	Trenton Mercer Airport
TUL	Tulsa International Airport
TUS	Tucson International Airport
TVC	Cherry Capital Airport
TWF	Magic Valley Regional Airport
TXK	Texarkana Regional Airport
TYR	Tyler Pounds Regional Airport
TYS	McGhee Tyson Airport
UIN	Quincy Regional Airport
UST	Northeast Florida Regional Airport
VLD	Valdosta Regional Airport
VPS	Destin-Fort Walton Beach Airport
VQS	Antonio Rivera Rodríguez Airport
WST	Westerly State Airport
XNA	Northwest Arkansas Regional Airport
YKM	Yakima Air Terminal
YNG	Youngstown-Warren Regional Airport
YUM	Yuma International Airport
